Dataset,NDDs,Pairs,Edges,Cycles,RA,PCTSP
Dataset1,36,202,5289,878,2.63,128.28
Dataset10,10,257,5243,746,2.04,3.09
Dataset11,7,255,4851,818,1.51,51.90
Dataset12,6,215,3969,1195,0.93,1.91
Dataset13,10,255,5905,1391,2.13,45.02
Dataset14,1,310,8334,3717,6.17,69.95
Dataset15,12,257,6193,1661,2.19,1200.56
Dataset16,6,261,5567,1260,2.24,1200.21
Dataset17,10,256,4978,937,2.18,56.86
Dataset18,6,330,9404,5026,6.70,61.60
Dataset19,10,256,5395,968,2.07,91.98
Dataset2,11,156,2182,337,0.59,35.29
Dataset20,7,291,7398,2004,4.85,75.37
Dataset21,8,275,6420,2808,2.56,7.19
Dataset22,4,289,5950,1762,2.36,39.74
Dataset23,3,199,3288,514,1.07,28.84
Dataset24,7,198,2895,277,0.85,29.40
Dataset25,2,389,13516,6927,14.95,1200.66
Dataset3,6,263,5585,1029,2.44,38.16
Dataset4,5,284,7257,3196,3.36,55.34
Dataset5,6,324,9558,3966,5.91,105.47
Dataset6,6,328,9185,3155,7.69,79.58
Dataset7,6,312,8365,3320,5.25,436.99
Dataset8,11,152,1978,350,0.31,1.27
Dataset9,3,269,5890,1111,3.26,46.10
